PERIODOFREPORT,num_institutions
2013-03-31,43
2013-06-30,2189
2013-09-30,2202
2013-12-31,2450
2014-03-31,2452
2014-06-30,2472
2014-09-30,2467
2014-12-31,2691
2015-03-31,2685
2015-06-30,2686
2015-09-30,2709
2015-12-31,2808
2016-03-31,2839
2016-06-30,2827
2016-09-30,2815
2016-12-31,2965
2017-03-31,2949
2017-06-30,2948
2017-09-30,2956
2017-12-31,3236
2018-03-31,3263
2018-06-30,3286
2018-09-30,3280
2018-12-31,3578
2019-03-31,3561
2019-06-30,3563
2019-09-30,3560
2019-12-31,3907
2020-03-31,3855
2020-06-30,3874
2020-09-30,3870
2020-12-31,4304
2021-03-31,4322
2021-06-30,4355
2021-09-30,4376
2021-12-31,4946
2022-03-31,4978
2022-06-30,4972
2022-09-30,4971
2022-12-31,5168
2023-03-31,5171
2023-06-30,5231
2023-09-30,5256
2023-12-31,5571
2024-03-31,5602
2024-06-30,5637
2024-09-30,5682
2024-12-31,6232
2025-03-31,6226
2025-06-30,39
2025-09-30,6249
